 ,alpha=0,0<alpha<=0.25,0.25<alpha<=0.5,0.5<alpha<=0.75,0.75<alpha<=1
0.05,1.0,1.0,1.0,1.0,1.0
0.1,1.0,1.0,1.0,1.0,1.0
0.15,1.0,0.998,0.996,0.98,0.978
0.2,1.0,1.0,0.994,0.958,0.95
0.25,0.996,0.994,0.98,0.892,0.868
0.3,0.976,0.958,0.942,0.844,0.796
0.35,0.95,0.934,0.884,0.71,0.682
0.4,0.87,0.832,0.748,0.542,0.5
0.45,0.772,0.704,0.616,0.424,0.378
0.5,0.686,0.604,0.518,0.294,0.25
0.55,0.502,0.418,0.32,0.156,0.146
0.6,0.39,0.288,0.214,0.1,0.09
0.65,0.284,0.206,0.142,0.058,0.056
0.7,0.28,0.166,0.108,0.076,0.07
0.75,0.32,0.18,0.154,0.126,0.122
0.8,0.468,0.248,0.224,0.206,0.206
0.85,0.682,0.478,0.44,0.41,0.408
0.9,0.884,0.688,0.656,0.644,0.642
0.95,0.978,0.91,0.9,0.882,0.882
